learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
A-CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CSPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BR  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  
t = 1
CFR  0.0880851  0.0840805  0.0603012  0.0603012  0.0880851  0.0603012  0.0860471  0.0603012  0.0840805  0.0840805  
CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0892372  0.0642439  0.0873083  0.0873083  
CFR_IN  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.0952345  0.075  0.0935959  0.0935959  
A-CFR_IN  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.0952345  0.075  0.0935959  0.0935959  
BPS-CFR  0.0880851  0.0840805  0.0603012  0.0603012  0.0880851  0.0603012  0.0860471  0.0603012  0.0840805  0.0840805  
TIPS-CFR  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.0952345  0.075  0.0935959  0.0935959  
CSPS-CFR  0.0897142  0.0857544  0.0624278  0.0624278  0.0897142  0.0624278  0.0876968  0.0624278  0.0857544  0.0857544  
CFPS-CFR  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.0952345  0.075  0.0935959  0.0935959  
CFPS-CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0892372  0.0642439  0.0873083  0.0873083  
TIPS-CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0892372  0.0642439  0.0873083  0.0873083  
BR  0.221045  0.222017  0.225  0.225  0.221045  0.225  0.221343  0.225  0.222017  0.222017  
t = 2
CFR  0.23885  0.285044  0.119542  0.122763  0.272243  0.121022  0.290536  0.121022  0.334449  0.339833  
CFR_EX+IN  0.262749  0.316152  0.132152  0.136057  0.299355  0.133961  0.320648  0.133961  0.370432  0.376272  
CFR_IN  0.328792  0.412765  0.157991  0.163536  0.373724  0.160581  0.404407  0.160581  0.481815  0.489048  
A-CFR_IN  0.14755  0.164772  0.164564  0.169804  0.160709  0.114232  0.167963  0.114232  0.186097  0.188734  
BPS-CFR  0.262406  0.314366  0.12692  0.130168  0.298945  0.128409  0.319422  0.128409  0.36836  0.374164  
