learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
CFR_EX+IN  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
CFR_IN  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
A-CFR_IN  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
BPS-CFR  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
TIPS-CFR  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
CSPS-CFR  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
CFPS-CFR  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
CFPS-CFR_EX+IN  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
TIPS-CFR_EX+IN  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  -0.110667  
BR  1.17171  1.17171  1.17171  1.17171  1.17171  1.17171  1.17171  1.17171  1.17171  1.17171  
t = 1
CFR  0.142938  0.138384  0.0868326  0.0868326  0.142938  0.0868326  0.140644  0.0868326  0.138384  0.138384  
CFR_EX+IN  0.14413  0.139608  0.0893542  0.0893542  0.14413  0.0893542  0.141852  0.0893542  0.139608  0.139608  
