learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
A-CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
BPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CSPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
t = 1
CFR  0.399599  0.401211  1.70756  1.70756  0.399599  1.70756  1.6716  1.70756  0.401211  0.401211  
CFR_EX+IN  0.403963  0.405611  1.77209  1.77209  0.403963  1.77209  1.73467  1.77209  0.405611  0.405611  
CFR_IN  0.692603  0.70584  5.29434  5.29434  0.692603  5.29434  5.27109  5.29434  0.70584  0.70584  
A-CFR_IN  0.692603  0.70584  5.29434  5.29434  0.692603  5.29434  5.27109  5.29434  0.70584  0.70584  
BPS-CFR  0.399599  0.401211  1.70756  1.70756  0.399599  1.70756  1.6716  1.70756  0.401211  0.401211  
TIPS-CFR  0.692603  0.70584  5.29434  5.29434  0.692603  5.29434  5.27109  5.29434  0.70584  0.70584  
CSPS-CFR  0.688999  0.700746  4.5387  4.5387  0.688999  4.5387  4.51776  4.5387  0.700746  0.700746  
CFPS-CFR  0.692603  0.70584  5.29434  5.29434  0.692603  5.29434  5.27109  5.29434  0.70584  0.70584  
CFPS-CFR_EX+IN  0.403963  0.405611  1.77209  1.77209  0.403963  1.77209  1.73467  1.77209  0.405611  0.405611  
TIPS-CFR_EX+IN  0.403963  0.405611  1.77209  1.77209  0.403963  1.77209  1.73467  1.77209  0.405611  0.405611  
t = 2
CFR  6.17293  6.30749  8.45317  5.02159  6.28017  6.57004  5.77403  8.44928  6.39625  6.50268  
CFR_EX+IN  6.14936  6.27494  8.4857  4.62452  6.24896  6.83229  5.82453  8.46739  6.35822  6.45756  
CFR_IN  4.36811  4.38727  9.49455  6.39373  4.36585  9.49794  6.35986  9.49633  4.39055  4.38482  
