learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
A-CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
BPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CSPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
t = 1
CFR  0.382197  0.380702  0.338893  0.338893  0.382197  0.338893  0.381645  0.338893  0.380702  0.380702  
CFR_EX+IN  0.37987  0.378327  0.335612  0.335612  0.37987  0.335612  0.379304  0.335612  0.378327  0.378327  
CFR_IN  0.383484  0.37843  0.3  0.3  0.383484  0.3  0.381915  0.3  0.37843  0.37843  
A-CFR_IN  0.383484  0.37843  0.3  0.3  0.383484  0.3  0.381915  0.3  0.37843  0.37843  
BPS-CFR  0.382197  0.380702  0.338893  0.338893  0.382197  0.338893  0.381645  0.338893  0.380702  0.380702  
TIPS-CFR  0.383484  0.37843  0.3  0.3  0.383484  0.3  0.381915  0.3  0.37843  0.37843  
CSPS-CFR  0.381168  0.37967  0.337967  0.337967  0.381168  0.337967  0.380616  0.337967  0.37967  0.37967  
CFPS-CFR  0.383484  0.37843  0.3  0.3  0.383484  0.3  0.381915  0.3  0.37843  0.37843  
CFPS-CFR_EX+IN  0.37987  0.378327  0.335612  0.335612  0.37987  0.335612  0.379304  0.335612  0.378327  0.378327  
TIPS-CFR_EX+IN  0.37987  0.378327  0.335612  0.335612  0.37987  0.335612  0.379304  0.335612  0.378327  0.378327  
t = 2
CFR  11.2767  11.514  9.3347  1.93724  11.6665  9.43365  11.5841  9.43319  11.8319  11.8319  
CFR_EX+IN  11.4207  11.6554  9.48209  2.03015  11.8106  9.58201  11.728  9.58155  11.9744  11.9744  
CFR_IN  3.11841  3.29909  10.0084  2.43455  3.30041  10.1331  3.25634  10.1214  3.45639  3.45639  
